"Variable","Method","Horizon","IRF","Lower","Upper"
"CPI","Lag-Augmented LP (Smoothed)",7,0.306759094106219,0.0937438571423057,0.519774331070133
"CPI","Lag-Augmented LP (Smoothed)",8,0.318191588379921,0.0860702346318243,0.550312942128018
"CPI","Lag-Augmented LP (Smoothed)",9,0.326583857354215,0.0767469830933445,0.576420731615085
"CPI","Lag-Augmented LP (Smoothed)",10,0.343691790850044,0.0742512995701245,0.613132282129964
"CPI","Lag-Augmented LP (Smoothed)",11,0.358220542679898,0.0692574426805178,0.647183642679278
"CPI","Lag-Augmented LP (Smoothed)",12,0.358000543947677,0.0498978258402804,0.666103262055074
"CPI","Lag-Augmented LP (Smoothed)",13,0.349052357088109,0.0231956910102465,0.674909023165972
"CPI","Lag-Augmented LP (Smoothed)",14,0.330659933742186,-0.00994885529783718,0.671268722782209
"CPI","Lag-Augmented LP (Smoothed)",15,0.339707775832564,-0.013151749248941,0.69256730091407
"CPI","Lag-Augmented LP (Smoothed)",16,0.349752081040694,-0.0131241277893268,0.712628289870716
"CPI","Lag-Augmented LP (Smoothed)",17,0.369171362089992,-0.00600035833113821,0.744343082511121
"CPI","Lag-Augmented LP (Smoothed)",18,0.379034413018151,-0.00790020738922598,0.765969033425528
"CPI","Lag-Augmented LP (Smoothed)",19,0.39981480792837,-0.00334493634922417,0.802974552205963
"CPI","Lag-Augmented LP (Smoothed)",20,0.43189580418325,0.0105894403403993,0.8532021680261
"CPI","Lag-Augmented LP (Smoothed)",21,0.46063361270019,0.0182971591998335,0.902970066200546
"CPI","Lag-Augmented LP (Smoothed)",22,0.484839998068253,0.0229741450560761,0.94670585108043
"CPI","Lag-Augmented LP (Smoothed)",23,0.496521730532503,0.0165102357489837,0.976533225316023
"CPI","Lag-Augmented LP (Smoothed)",24,0.501749796246464,0.00494505628478203,0.998554536208145
"CPI","Lag-Augmented LP (Smoothed)",25,0.500406653651274,-0.0123968356251961,1.01321014292774
"CPI","Lag-Augmented LP (Smoothed)",26,0.498356594647176,-0.0275293139943586,1.02424250328871
"CPI","Lag-Augmented LP (Smoothed)",27,0.506149039318578,-0.0303185798055511,1.04261665844271
"CPI","Lag-Augmented LP (Smoothed)",28,0.532023598645559,-0.0153578054783847,1.0794050027695
"CPI","Lag-Augmented LP (Smoothed)",29,0.563728187733902,0.00507614437120041,1.1223802310966
"CPI","Lag-Augmented LP (Smoothed)",30,0.590333174313529,0.0217296615646363,1.15893668706242
"CPI","Lag-Augmented LP (Smoothed)",31,0.610080142020177,0.0356944703863349,1.18446581365402
"CPI","Lag-Augmented LP (Smoothed)",32,0.631175680293836,0.0565103658605697,1.2058409947271
"CPI","Lag-Augmented LP (Smoothed)",33,0.646508641096489,0.0752448983021631,1.21777238389081
"CPI","Lag-Augmented LP (Smoothed)",34,0.655517964590478,0.0877654124225986,1.22327051675836
"CPI","Lag-Augmented LP (Smoothed)",35,0.654073206112257,0.089959370577626,1.21818704164689
"CPI","Lag-Augmented LP (Smoothed)",36,0.656911677515576,0.0951772320556016,1.21864612297555
"CPI","Lag-Augmented LP (Smoothed)",37,0.66501229702932,0.106788126231881,1.22323646782676
"CPI","Lag-Augmented LP (Smoothed)",38,0.684959018229215,0.131517730021834,1.2384003064366
